StreetName,Postcode,BagStreet,CollectionDay,CollectionTimeStart,CollectionTimeEnd,PresentationDayStart,PresentationTimeStart,PresentationDayEnd,PresentationTimeEnd,KeywasteCollectionDay,KeywasteCollectionTimeStart,KeywasteCollectionTimeEnd,KeyWastePresentationDayStart,KeyWastePresentationTimeStart,KeywastePresentationDayEnd,KeywastePresentationTimeEnd,,,,,,,,,,
Grantham Street,8,,"[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday]",19:00,0:00,"[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday]",17:00,"[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday]",0:00,,,,,,,,,,,,,,,,,
Greenville Parade,8,Y,Tuesday,6:00,21:00,Monday,18:00,Tuesday,21:00,,,,,,,,,,,,,,,,,
Grove Park,8,,Tuesday,6:00,21:00,Monday,18:00,Tuesday,21:00,,,,,,,,,,,,,,,,,
Grove Road,8,,Tuesday,6:00,21:00,Monday,18:00,Tuesday,21:00,,,,,,,,,,,,,,,,,
Harcourt Centre,8,,Tuesday,6:00,21:00,Monday,18:00,Tuesday,21:00,,,,,,,,,,,,,,,,,
Harcourt Road,2,Y,"[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday]",19:00,4:00,"[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday]",17:00,"[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday]",4:00,Friday,17:30,19:00,Friday,17:50,Friday,19:00,,,,,,,,,,
Harrington Street,8,,"[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday]",19:00,0:00,"[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday]",17:00,"[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday]",0:00,,,,Monday,17:30,19:00,Monday,17:30,Monday,19:00,,,,,,,
Harty Place,8,Y,Tuesday,6:00,21:00,Monday,18:00,Tuesday,21:00,,,,,,,,,,,,,,,,,
Heytesbury Street,8,Y,"[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday]",19:00,0:00,"[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday]",17:00,"[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday]",0:00,Monday,17:30,19:00,Monday,17:30,Monday,19:00,,,,,,,,,,
Kingsland Lane,8,,Tuesday,6:00,21:00,Monday,18:00,Tuesday,21:00,,,,,,,,,,,,,,,,,
Kingsland Parade,8,,Tuesday,6:00,21:00,Monday,18:00,Tuesday,21:00,,,,,,,,,,,,,,,,,
Kingsland Park Avenue,8,,Tuesday,6:00,21:00,Monday,18:00,Tuesday,21:00,,,,,,,,,,,,,,,,,
Lennox Place,8,Y,"[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday]",19:00,0:00,"[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday]",17:00,"[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday]",0:00,Monday,17:30,19:00,Monday,17:30,Monday,19:00,,,,,,,,,,
Lennox Street (31-48),8,Y,Tuesday,6:00,21:00,Monday,18:00,Tuesday,21:00,,,,,,,,,,,,,,,,,
Lennox Street (1-30),8,Y,"[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday]",19:00,0:00,"[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday]",17:00,"[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday]",0:00,Monday,17:30,19:00,Monday,17:30,Monday,19:00,,,,,,,,,,
Lennox Terrace,8,Y,"[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday]",19:00,0:00,"[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday]",17:00,"[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday]",0:00,Monday,17:30,19:00,Monday,17:30,Monday,19:00,,,,,,,,,,
Liberty Lane,8,,Tuesday,6:00,21:00,Monday,18:00,Tuesday,21:00,,,,,,,,,,,,,,,,,
Lombard Street West,8,Y,Tuesday,6:00,21:00,Monday,18:00,Tuesday,21:00,,,,,,,,,,,,,,,,,
Long Lane Close,8,Y,Tuesday,6:00,21:00,Monday,18:00,Tuesday,21:00,,,,,,,,,,,,,,,,,
Long Lane,8,Y,Tuesday,6:00,21:00,Monday,18:00,Tuesday,21:00,,,,,,,,,,,,,,,,,
Longwood Avenue,8,,Tuesday,6:00,21:00,Monday,18:00,Tuesday,21:00,,,,,,,,,,,,,,,,,
Malpas Place,8,Y,Tuesday,6:00,21:00,Monday,18:00,Tuesday,21:00,,,,,,,,,,,,,,,,,
Malpas Street,8,,Tuesday,6:00,21:00,Monday,18:00,Tuesday,21:00,,,,,,,,,,,,,,,,,
Malpas Terrace,8,Y,Tuesday,6:00,21:00,Monday,18:00,Tuesday,21:00,,,,,,,,,,,,,,,,,
Martin Street,8,,Tuesday,6:00,21:00,Monday,18:00,Tuesday,21:00,,,,,,,,,,,,,,,,,
Mc Mahon Street,8,,Tuesday,6:00,21:00,Monday,18:00,Tuesday,21:00,,,,,,,,,,,,,,,,,
Meath Primary Care Centre,8,,Tuesday,6:00,21:00,Monday,18:00,Tuesday,21:00,,,,,,,,,,,,,,,,,
Montague Lane,2,Y,"[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday]",19:00,0:00,"[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday]",17:00,"[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday]",0:00,Friday,17:30,19:00,Friday,17:50,Friday,19:00,,,,,,,,,,
